parameter_set,period_start,period_end,total_return,max_drawdown,sharpe_ratio,win_rate,total_trades,profit_factor,avg_hold_time_hours,final_capital,signals_generated,signals_executed,execution_time_seconds
"{'name': 'Config_1', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-07-22T00:00:00+00:00,2025-08-21T00:00:00+00:00,-0.01013603276184,0.04561475806460348,0.0,0.375,8,0.8046590323103306,405.0,98986.3967238160,27,8,29.321075439453125
"{'name': 'Config_1', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-06-16T00:00:00+00:00,2025-07-16T00:00:00+00:00,0.016823467172215,0.0359674873345667,0.0,0.6666666666666666,6,2.3537108614397497,468.0,101682.3467172215,30,6,25.847867965698242
"{'name': 'Config_1', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-05-11T00:00:00+00:00,2025-06-10T00:00:00+00:00,0.00081296224535,0.04465040868990848,0.0,0.5714285714285714,7,1.0698291632009476,462.85714285714283,100081.296224535,31,7,25.91950297355652
"{'name': 'Config_1', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-04-05T00:00:00+00:00,2025-05-05T00:00:00+00:00,-0.04175299562276,0.08115279397308778,0.0,0.5,12,0.4766211586466726,278.0,95824.7004377240,21,12,25.622537851333618
"{'name': 'Config_1', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-02-28T00:00:00+00:00,2025-03-30T00:00:00+00:00,-0.05938805943566,0.05928703223566001,0.0,0.0,6,0.0,120.0,94061.1940564340,10,6,27.48384714126587
"{'name': 'Config_2', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-07-22T00:00:00+00:00,2025-08-21T00:00:00+00:00,-0.01013603276184,0.04561475806460348,0.0,0.375,8,0.8046590323103306,405.0,98986.3967238160,27,8,28.380586862564087
"{'name': 'Config_2', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-06-16T00:00:00+00:00,2025-07-16T00:00:00+00:00,0.016823467172215,0.0359674873345667,0.0,0.6666666666666666,6,2.3537108614397497,468.0,101682.3467172215,30,6,25.599520921707153
"{'name': 'Config_2', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-05-11T00:00:00+00:00,2025-06-10T00:00:00+00:00,0.00081296224535,0.04465040868990848,0.0,0.5714285714285714,7,1.0698291632009476,462.85714285714283,100081.296224535,31,7,26.694735765457153
"{'name': 'Config_2', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-04-05T00:00:00+00:00,2025-05-05T00:00:00+00:00,-0.04175299562276,0.08115279397308778,0.0,0.5,12,0.4766211586466726,278.0,95824.7004377240,21,12,25.12430500984192
"{'name': 'Config_2', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-02-28T00:00:00+00:00,2025-03-30T00:00:00+00:00,-0.05938805943566,0.05928703223566001,0.0,0.0,6,0.0,120.0,94061.1940564340,10,6,26.422284364700317
